Length,Inhabitants, Distance
1471,54,515
828,11,495
1981,59,633.330017
993,9,261.670013
126,9,115
132,6,85
421,29,136.669998
346,9,135
505,24,395
1788,46,1115
1047,15,426.670013
1478,13,490
2684,30,863.330017
1046,22,271.670013
1285,70,250
1987,52,441.670013
1528,75,410
2346,44,563.330017
5401,29,890
3000,32,991.669983
4595,41,893.330017
3552,41,926.669983
4437,18,856.669983
4820,27,923.330017
3985,29,1200
1489,9,590
2478,21,516.669983
1894,15,713.330017
2972,25,756.669983
4879,56,816.669983
3977,51,1018.330017
856,6,490
3729,16,1673.329956
3898,41,613.330017
3157,19,723.330017
4712,30,1180
804,12,366.670013
2603,36,718.330017
4210,27,751.669983
5384,48,728.330017
1478,13,513.330017
1285,70,250
1972,18,636.669983
2350,10,611.669983
1946,23,1271.670044
1733,92,458.329987
2064,58,365
1509,97,225
1422,31,633.330017
1430,18,716.669983
1084,35,330
2470,37,860
469,19,280
567,36,223.330002
1064,12,536.669983
1174,18,396.670013
1590,16,556.669983
2748,26,603.330017
1688,27,550
1956,51,405
839,17,276.670013
1466,63,295
2702,91,996.669983
1417,17,720
948,4,646.669983
1025,111,370
534,16,126.669998
1147,36,305
2765,14,893.330017
375,7,211.669998
1345,45,451.670013
4070,67,1050
3430,80,1166.670044
2930,63,645
4115,125,706.669983
3200,37,923.330017
3210,51,975
2745,29,653.330017
3215,40,876.669983
7675,150,1050
3605,61,686.669983
1535,22,620
2120,83,758.330017
2810,86,873.330017
1880,77,560
3090,320,880
3570,147,1270
2160,36,945
665,15,318.329987
1520,55,420
2216,22,556.669983
4845,89,1360
3362,84,716.669983
5990,90,963.330017
2110,30,571.669983
2560,39,533.330017
2608,38,426.670013
2362,52,546.669983
2160,28,936.669983
970,17,295
1680,24,680
2594,78,675
1176,46,390
826,20,313.329987
2916,55,736.669983
4610,59,796.669983
3302,200,596.669983
1396,55,343.329987
1042,19,316.670013
2522,42,573.330017
5009,69,853.330017
1360,20,463.329987
764,30,300
2136,52,1123.329956
1936,16,606.669983
4016,47,983.330017
1360,14,423.329987
3064,27,613.330017
1982,15,650
1726,71,363.329987
2684,77,490
2000,43,473.329987
3096,69,466.670013
2300,39,380
1694,25,506.670013
1130,15,336.670013
1370,7,546.669983
1942,41,346.670013
3380,67,826.669983
1835,34,508.329987
4750,62,1370
860,10,266.670013
670,19,436.670013
862,7,463.329987
1130,18,736.669983
2090,31,700
890,18,323.329987
625,16,203.330002
710,14,216.669998
160,6,136.669998
1885,83,460
2055,55,308.329987
1357,12,323.329987
1739,24,466.670013
908,19,533.330017
533,22,198.330002
2291,55,510
2771,58,553.330017
513,8,330
1936,24,540
384,27,223.330002
1277,29,386.670013
498,16,223.330002
1207,11,356.670013
3411,76,863.330017
2521,79,430
1605,16,603.330017
980,14,326.670013
570,44,143.330002
1144,20,370
404,5,160
1276,25,346.670013
2686,35,736.669983
1532,85,400
2257,30,790
2124,23,600
1051,25,313.329987
1362,26,423.329987
496,16,203.330002
1837,51,631.669983
2142,29,461.670013
118,8,60
1534,46,460
1210,13,408.329987
1840,103,433.329987
675,29,156.669998
823,17,295
542,39,290
1241,57,405
2674,65,596.669983
1663,40,450
2702,79,576.669983
1868,30,446.670013
622,17,420
1535,20,836.669983
1124,19,323.329987
390,9,171.669998
1019,12,351.670013
1336,59,471.670013
822,18,330
374,15,205
2134,42,756.669983
2898,52,673.330017
1187,8,346.670013
484,19,173.330002
1559,9,516.669983
2651,46,1106.670044
4046,35,1016.669983
4486,49,736.669983
3731,54,681.669983
1998,21,640
2139,21,473.329987
2610,15,806.669983
4673,34,1095
1287,20,346.670013
2515,23,953.330017
1003,28,268.329987
2260,86,455
686,16,333.329987
2452,9,476.670013
616,12,213.330002
942,25,368.329987
528,25,195
1460,39,416.670013
1723,27,460
1143,37,466.670013
1987,126,690
1571,36,915
1002,21,466.670013
1206,30,380
6465,141,966.669983
3330,63,830
4880,55,1006.669983
3310,200,506.670013
2305,60,755
1675,74,613.330017
1704,22,433.329987
2764,108,611.669983
1190,19,363.329987
844,10,473.329987
1698,45,453.329987
4268,55,830
2206,46,663.330017
1232,39,500
2289,13,763.330017
2754,70,423.329987
2426,18,593.330017
2275,36,573.330017
814,23,473.329987
1780,22,923.330017
1023,12,306.670013
