strike_volume,country_code,year,unemployment,inflation,parliamentary_representation,union_centralization
279.0,4.0,1962.0,5.4,1.2,44.9,0.0
175.0,4.0,1963.0,5.1,1.8,55.1,0.0
289.0,4.0,1964.0,4.3,1.8,55.1,0.0
408.0,4.0,1965.0,3.6,2.5,57.3,0.0
849.0,4.0,1966.0,3.3,3.7,57.3,0.0
612.0,4.0,1967.0,3.8,3.6,57.3,0.0
762.0,4.0,1968.0,4.4,4.1,67.0,0.0
1125.0,4.0,1969.0,4.4,4.5,67.0,0.0
934.0,4.0,1970.0,5.6,3.4,67.0,0.0
399.0,4.0,1971.0,6.1,2.8,67.0,0.0
1041.0,4.0,1972.0,6.2,4.8,53.0,0.0
732.0,4.0,1973.0,5.5,7.6,53.0,0.0
1121.0,4.0,1974.0,5.3,10.9,59.0,0.0
1303.0,4.0,1975.0,6.9,10.8,59.0,0.0
1359.0,4.0,1976.0,7.1,7.5,59.0,0.0
381.0,4.0,1977.0,8.0,8.0,59.0,0.0
826.0,4.0,1978.0,8.3,8.9,59.0,0.0
841.0,4.0,1979.0,7.4,9.1,49.6,0.0
930.0,4.0,1980.0,7.4,10.2,63.4,0.0
894.0,4.0,1981.0,7.5,12.5,63.4,0.0
605.0,4.0,1982.0,10.9,10.8,63.4,0.0
462.0,4.0,1983.0,11.8,5.8,63.4,0.0
393.0,4.0,1984.0,11.2,4.3,24.8,0.0
315.0,4.0,1985.0,10.4,4.0,24.8,0.0
3.0,5.0,1951.0,9.7,10.5,44.6,0.5
3.0,5.0,1952.0,12.5,3.8,44.6,0.5
2.0,5.0,1953.0,9.2,0.9,45.6,0.5
17.0,5.0,1954.0,9.0,0.0,46.9,0.5
7.0,5.0,1955.0,9.7,5.5,46.9,0.5
789.0,5.0,1956.0,11.1,6.0,46.9,0.5
5.0,5.0,1957.0,9.9,2.7,43.4,0.5
6.0,5.0,1958.0,9.2,0.7,43.4,0.5
12.0,5.0,1959.0,5.9,1.7,43.4,0.5
41.0,5.0,1960.0,4.2,1.3,43.4,0.5
1486.0,5.0,1961.0,3.3,3.5,49.7,0.5
9.0,5.0,1962.0,1.8,7.4,49.7,0.5
15.0,5.0,1963.0,2.0,6.1,49.7,0.5
11.0,5.0,1964.0,1.4,3.1,49.7,0.5
143.0,5.0,1965.0,1.2,5.5,49.1,0.5
9.0,5.0,1966.0,1.4,7.1,50.9,0.5
6.0,5.0,1967.0,1.2,8.2,50.9,0.5
19.0,5.0,1968.0,1.2,8.0,44.0,0.5
31.0,5.0,1969.0,1.1,3.5,44.0,0.5
56.0,5.0,1970.0,0.7,6.5,44.0,0.5
11.0,5.0,1971.0,1.1,5.9,44.0,0.5
11.0,5.0,1972.0,0.9,6.6,49.7,0.5
2001.0,5.0,1973.0,0.9,9.3,49.7,0.5
94.0,5.0,1974.0,3.5,15.3,36.0,0.5
52.0,5.0,1975.0,4.9,9.6,41.7,0.5
107.0,5.0,1976.0,6.3,9.0,41.7,0.5
115.0,5.0,1977.0,7.3,11.1,48.0,0.5
64.0,5.0,1978.0,8.3,10.0,48.0,0.5
84.0,5.0,1979.0,6.0,9.6,48.0,0.5
90.0,5.0,1980.0,6.5,12.3,48.6,0.5
319.0,5.0,1981.0,10.3,11.7,48.6,0.5
45.0,5.0,1982.0,11.0,10.1,48.0,0.5
38.0,5.0,1983.0,11.4,6.9,48.0,0.5
62.0,5.0,1984.0,8.5,6.3,46.9,0.5
1056.0,5.0,1985.0,7.3,4.7,46.9,0.5
288.0,6.0,1951.0,0.1,16.3,26.5,0.75
47.0,6.0,1952.0,0.1,1.0,26.5,0.75
54.0,6.0,1953.0,0.3,2.0,26.5,0.75
96.0,6.0,1954.0,0.1,0.0,27.0,0.75
281.0,6.0,1955.0,0.1,-2.9,27.0,0.75
5568.0,6.0,1956.0,0.1,11.0,27.0,0.75
174.0,6.0,1957.0,0.3,11.3,27.0,0.75
35.0,6.0,1958.0,0.4,6.6,27.0,0.75
323.0,6.0,1959.0,2.3,1.5,25.5,0.75
71.0,6.0,1960.0,1.5,3.2,25.5,0.75
30.0,6.0,1961.0,1.2,1.8,25.5,0.75
23.0,6.0,1962.0,1.3,4.5,20.0,0.75
961.0,6.0,1963.0,1.5,4.9,20.0,0.75
39.0,6.0,1964.0,1.5,10.4,20.0,0.75
11.0,6.0,1965.0,1.4,4.8,20.0,0.75
80.0,6.0,1966.0,1.5,3.9,31.0,0.75
211.0,6.0,1967.0,2.9,5.6,31.0,0.75
186.0,6.0,1968.0,3.8,9.2,31.0,0.75
104.0,6.0,1969.0,2.8,2.2,31.0,0.75
100.0,6.0,1970.0,1.9,2.7,26.0,0.75
143.0,6.0,1971.0,2.2,6.5,26.0,0.75
1632.0,6.0,1972.0,2.5,7.1,27.5,0.75
272.0,6.0,1973.0,2.3,11.0,27.5,0.75
239.0,6.0,1974.0,1.7,16.7,27.5,0.75
155.0,6.0,1975.0,2.2,17.8,27.5,0.75
684.0,6.0,1976.0,3.8,14.4,27.0,0.75
1310.0,6.0,1977.0,5.8,12.7,27.0,0.75
73.0,6.0,1978.0,7.2,7.8,27.0,0.75
131.0,6.0,1979.0,5.9,7.5,26.0,0.75
836.0,6.0,1980.0,4.6,11.6,26.0,0.75
337.0,6.0,1981.0,5.1,12.0,26.0,0.75
105.0,6.0,1982.0,5.8,9.6,26.0,0.75
361.0,6.0,1983.0,6.1,8.4,28.5,0.75
754.0,6.0,1984.0,4.9,7.1,28.5,0.75
84.0,6.0,1985.0,4.8,5.9,28.5,0.75
299.0,7.0,1951.0,0.6,17.7,49.3,0.0
146.0,7.0,1952.0,0.7,12.0,49.3,0.0
807.0,7.0,1953.0,0.9,-1.9,49.3,0.0
119.0,7.0,1954.0,1.6,0.4,49.3,0.0
251.0,7.0,1955.0,1.5,1.0,49.3,0.0
114.0,7.0,1956.0,1.1,4.3,56.6,0.0
324.0,7.0,1957.0,0.8,-0.8,56.6,0.0
88.0,7.0,1958.0,0.9,15.3,56.6,0.0
151.0,7.0,1959.0,1.3,5.7,16.6,0.0
82.0,7.0,1960.0,1.2,4.2,16.6,0.0
198.0,7.0,1961.0,1.1,2.4,16.6,0.0
142.0,7.0,1962.0,1.1,5.2,16.6,0.0
434.0,7.0,1963.0,1.2,5.1,32.4,0.0
176.0,7.0,1964.0,0.9,3.2,32.4,0.0
69.0,7.0,1965.0,1.2,2.7,32.4,0.0
174.0,7.0,1966.0,1.2,2.6,32.4,0.0
282.0,7.0,1967.0,1.6,2.8,41.0,0.0
7000.0,7.0,1968.0,2.6,4.6,19.1,0.0
143.0,7.0,1969.0,2.3,6.1,19.1,0.0
109.0,7.0,1970.0,2.4,5.9,19.1,0.0
271.0,7.0,1971.0,2.6,5.5,19.1,0.0
228.0,7.0,1972.0,2.7,6.2,19.1,0.0
232.0,7.0,1973.0,2.6,7.3,36.9,0.0
197.0,7.0,1974.0,2.8,13.7,36.9,0.0
227.0,7.0,1975.0,4.1,11.8,36.9,0.0
235.0,7.0,1976.0,4.4,9.6,36.9,0.0
139.0,7.0,1977.0,4.9,9.4,36.9,0.0
118.0,7.0,1978.0,5.2,9.1,41.7,0.0
179.0,7.0,1979.0,5.9,10.8,41.7,0.0
86.0,7.0,1980.0,6.3,13.3,41.7,0.0
82.0,7.0,1981.0,7.4,13.4,68.4,0.0
127.0,7.0,1982.0,8.1,11.8,68.4,0.0
74.0,7.0,1983.0,8.3,9.6,68.4,0.0
75.0,7.0,1984.0,9.7,7.4,68.4,0.0
41.0,7.0,1985.0,10.2,5.8,68.4,0.0
112.0,8.0,1951.0,6.4,7.7,36.3,0.25
29.0,8.0,1952.0,6.1,2.1,36.3,0.25
95.0,8.0,1953.0,5.5,-1.9,36.3,0.25
98.0,8.0,1954.0,5.2,0.2,31.0,0.25
50.0,8.0,1955.0,3.9,1.7,31.0,0.25
89.0,8.0,1956.0,3.1,2.6,31.0,0.25
59.0,8.0,1957.0,2.7,2.1,31.0,0.25
43.0,8.0,1958.0,2.7,2.1,34.0,0.25
3.0,8.0,1959.0,1.9,1.0,34.0,0.25
2.0,8.0,1960.0,0.9,1.5,34.0,0.25
3.0,8.0,1961.0,0.6,2.3,34.0,0.25
22.0,8.0,1962.0,0.6,2.9,38.1,0.25
88.0,8.0,1963.0,0.7,3.0,38.1,0.25
1.0,8.0,1964.0,0.6,2.4,38.1,0.25
2.0,8.0,1965.0,0.5,3.2,38.1,0.25
1.0,8.0,1966.0,0.6,3.6,40.7,0.25
19.0,8.0,1967.0,1.7,1.6,40.7,0.25
1.0,8.0,1968.0,1.2,1.6,40.7,0.25
12.0,8.0,1969.0,0.7,1.9,40.7,0.25
4.0,8.0,1970.0,0.6,3.4,45.2,0.25
203.0,8.0,1971.0,0.7,5.2,45.2,0.25
3.0,8.0,1972.0,0.9,5.5,45.2,0.25
25.0,8.0,1973.0,1.0,7.0,46.4,0.25
48.0,8.0,1974.0,2.1,7.0,46.4,0.25
3.0,8.0,1975.0,4.0,5.9,46.4,0.25
25.0,8.0,1976.0,4.0,4.3,46.4,0.25
1.0,8.0,1977.0,3.9,3.7,43.2,0.25
197.0,8.0,1978.0,3.7,2.7,43.2,0.25
22.0,8.0,1979.0,3.3,4.1,43.2,0.25
6.0,8.0,1980.0,3.3,5.4,43.2,0.25
3.0,8.0,1981.0,4.6,6.3,43.9,0.25
1.0,8.0,1982.0,6.7,5.3,43.9,0.25
2.0,8.0,1983.0,8.2,3.3,38.8,0.25
260.0,8.0,1984.0,8.2,2.4,38.8,0.25
2.0,8.0,1985.0,8.3,2.2,38.8,0.25
773.0,9.0,1951.0,7.3,7.9,10.88,0.5
752.0,9.0,1952.0,9.1,9.2,10.88,0.5
117.0,9.0,1953.0,9.6,5.0,10.88,0.5
95.0,9.0,1954.0,8.1,0.0,12.92,0.5
336.0,9.0,1955.0,6.8,2.6,12.92,0.5
70.0,9.0,1956.0,7.7,4.3,12.92,0.5
135.0,9.0,1957.0,9.2,4.1,8.16,0.5
187.0,9.0,1958.0,8.6,4.5,8.16,0.5
181.0,9.0,1959.0,8.0,0.0,8.16,0.5
115.0,9.0,1960.0,6.7,0.4,8.16,0.5
589.0,9.0,1961.0,5.7,2.7,11.11,0.5
160.0,9.0,1962.0,5.7,4.2,11.11,0.5
354.0,9.0,1963.0,6.1,2.5,11.11,0.5
794.0,9.0,1964.0,4.7,6.7,11.11,0.5
796.0,9.0,1965.0,4.6,5.0,15.27,0.5
1129.0,9.0,1966.0,4.7,3.1,15.27,0.5
262.0,9.0,1967.0,5.0,3.2,15.27,0.5
574.0,9.0,1968.0,5.3,4.7,15.27,0.5
1304.0,9.0,1969.0,5.0,7.4,12.5,0.5
1405.0,9.0,1970.0,5.8,8.2,12.5,0.5
379.0,9.0,1971.0,5.5,9.0,12.5,0.5
284.0,9.0,1972.0,6.2,8.7,12.5,0.5
277.0,9.0,1973.0,5.7,11.4,13.19,0.5
720.0,9.0,1974.0,5.3,17.0,13.19,0.5
390.0,9.0,1975.0,7.3,20.9,13.19,0.5
1032.0,9.0,1976.0,9.0,18.0,13.19,0.5
571.0,9.0,1977.0,8.8,13.6,11.48,0.5
765.0,9.0,1978.0,8.2,7.6,11.48,0.5
1752.0,9.0,1979.0,7.1,13.2,11.48,0.5
480.0,9.0,1980.0,7.3,18.2,11.48,0.5
503.0,9.0,1981.0,9.9,20.4,9.04,0.5
504.0,9.0,1982.0,11.4,17.1,9.04,0.5
382.0,9.0,1983.0,14.0,10.5,9.64,0.5
472.0,9.0,1984.0,15.6,8.6,9.64,0.5
521.0,9.0,1985.0,17.0,5.4,9.64,0.5
437.0,10.0,1951.0,8.8,14.3,37.5,0.25
337.0,10.0,1952.0,9.5,1.9,37.5,0.25
545.0,10.0,1953.0,10.0,1.4,40.2,0.25
493.0,10.0,1954.0,8.7,2.4,40.2,0.25
511.0,10.0,1955.0,7.5,2.3,40.2,0.25
372.0,10.0,1956.0,9.3,3.4,40.2,0.25
407.0,10.0,1957.0,7.4,1.1,40.2,0.25
363.0,10.0,1958.0,6.4,3.2,41.4,0.25
792.0,10.0,1959.0,5.4,0.0,41.4,0.25
483.0,10.0,1960.0,4.0,2.1,41.4,0.25
803.0,10.0,1961.0,3.4,2.0,41.4,0.25
1799.0,10.0,1962.0,4.4,5.0,41.4,0.25
888.0,10.0,1963.0,3.8,6.7,40.2,0.25
1256.0,10.0,1964.0,4.2,6.3,40.2,0.25
557.0,10.0,1965.0,5.3,4.2,40.2,0.25
1163.0,10.0,1966.0,5.7,2.4,40.2,0.25
675.0,10.0,1967.0,5.3,1.3,40.2,0.25
719.0,10.0,1968.0,5.6,1.2,42.5,0.25
2875.0,10.0,1969.0,5.6,2.6,42.5,0.25
1566.0,10.0,1970.0,5.3,5.0,42.5,0.25
1098.0,10.0,1971.0,5.3,4.9,42.5,0.25
1437.0,10.0,1972.0,6.3,5.7,42.7,0.25
1698.0,10.0,1973.0,6.2,10.8,42.7,0.25
1381.0,10.0,1974.0,5.3,19.1,42.7,0.25
1918.0,10.0,1975.0,5.8,17.0,42.7,0.25
1774.0,10.0,1976.0,6.6,16.7,48.6,0.25
1149.0,10.0,1977.0,7.0,18.5,48.6,0.25
702.0,10.0,1978.0,7.1,12.0,48.6,0.25
1870.0,10.0,1979.0,7.6,14.8,48.6,0.25
1108.0,10.0,1980.0,7.5,21.3,48.6,0.25
705.0,10.0,1981.0,7.8,19.5,48.6,0.25
1245.0,10.0,1982.0,8.4,16.5,48.6,0.25
945.0,10.0,1983.0,9.3,14.6,47.8,0.25
591.0,10.0,1984.0,9.7,10.8,47.8,0.25
257.0,10.0,1985.0,9.9,9.2,47.8,0.25
439.0,11.0,1951.0,1.1,16.5,17.8,0.125
1061.0,11.0,1952.0,1.2,5.0,23.6,0.125
286.0,11.0,1953.0,1.3,6.6,29.8,0.125
249.0,11.0,1954.0,1.7,6.5,29.8,0.125
215.0,11.0,1955.0,1.8,-1.0,34.1,0.125
262.0,11.0,1956.0,1.7,0.0,34.1,0.125
300.0,11.0,1957.0,1.4,3.3,34.1,0.125
306.0,11.0,1958.0,1.4,-0.4,35.8,0.125
279.0,11.0,1959.0,1.5,1.0,35.8,0.125
216.0,11.0,1960.0,1.1,3.6,35.3,0.125
259.0,11.0,1961.0,1.0,5.4,35.3,0.125
216.0,11.0,1962.0,1.3,6.8,35.3,0.125
105.0,11.0,1963.0,1.2,7.7,36.8,0.125
115.0,11.0,1964.0,1.2,3.8,36.8,0.125
197.0,11.0,1965.0,1.2,6.6,36.8,0.125
9.0,11.0,1966.0,1.3,5.1,36.8,0.125
60.0,11.0,1967.0,1.3,4.0,36.0,0.125
90.0,11.0,1968.0,1.2,5.4,36.0,0.125
114.0,11.0,1969.0,1.1,5.2,27.8,0.125
118.0,11.0,1970.0,1.1,7.7,27.8,0.125
177.0,11.0,1971.0,1.2,6.3,27.8,0.125
149.0,11.0,1972.0,1.4,4.9,35.6,0.125
127.0,11.0,1973.0,1.3,11.6,35.6,0.125
266.0,11.0,1974.0,1.4,23.2,35.6,0.125
220.0,11.0,1975.0,1.9,11.8,35.6,0.125
88.0,11.0,1976.0,2.0,9.4,33.1,0.125
40.0,11.0,1977.0,2.0,8.2,33.1,0.125
36.0,11.0,1978.0,2.2,4.2,33.1,0.125
24.0,11.0,1979.0,2.1,3.7,35.3,0.125
25.0,11.0,1980.0,2.0,7.7,32.9,0.125
14.0,11.0,1981.0,2.2,5.0,32.9,0.125
13.0,11.0,1982.0,2.4,2.7,32.9,0.125
12.0,11.0,1983.0,2.6,1.9,34.1,0.125
8.0,11.0,1984.0,2.7,2.3,34.1,0.125
6.0,11.0,1985.0,2.6,2.0,34.1,0.125
24.0,12.0,1951.0,2.4,11.9,35.0,0.75
11.0,12.0,1952.0,3.5,0.0,36.0,0.75
10.0,12.0,1953.0,2.5,0.0,36.0,0.75
20.0,12.0,1954.0,1.8,4.0,36.0,0.75
44.0,12.0,1955.0,1.3,1.9,36.0,0.75
68.0,12.0,1956.0,0.9,1.9,38.0,0.75
2.0,12.0,1957.0,1.2,6.1,38.0,0.75
12.0,12.0,1958.0,2.3,2.2,35.3,0.75
4.0,12.0,1959.0,1.8,1.1,35.3,0.75
142.0,12.0,1960.0,1.1,2.3,35.3,0.75
7.0,12.0,1961.0,0.8,1.3,35.3,0.75
3.0,12.0,1962.0,0.5,2.3,35.3,0.75
11.0,12.0,1963.0,0.6,3.3,34.0,0.75
12.0,12.0,1964.0,0.5,5.8,34.0,0.75
15.0,12.0,1965.0,0.5,5.8,34.0,0.75
3.0,12.0,1966.0,0.8,5.8,34.0,0.75
2.0,12.0,1967.0,1.6,3.5,30.7,0.75
4.0,12.0,1968.0,1.4,3.7,30.7,0.75
6.0,12.0,1969.0,1.0,7.4,30.7,0.75
66.0,12.0,1970.0,1.0,3.7,30.7,0.75
25.0,12.0,1971.0,1.3,7.5,31.3,0.75
33.0,12.0,1972.0,2.2,7.8,31.3,0.75
141.0,12.0,1973.0,2.2,8.0,34.7,0.75
2.0,12.0,1974.0,2.7,9.6,34.7,0.75
0.0,12.0,1975.0,5.2,10.2,34.7,0.75
3.0,12.0,1976.0,5.5,9.1,34.7,0.75
57.0,12.0,1977.0,5.3,6.5,37.3,0.75
1.0,12.0,1978.0,5.3,4.1,37.3,0.75
68.0,12.0,1979.0,5.4,4.2,37.3,0.75
13.0,12.0,1980.0,6.0,6.5,37.3,0.75
5.0,12.0,1981.0,8.6,6.8,33.3,0.75
49.0,12.0,1982.0,11.4,5.9,33.3,0.75
26.0,12.0,1983.0,13.7,2.8,35.3,0.75
6.0,12.0,1984.0,14.1,3.3,35.3,0.75
19.0,12.0,1985.0,12.8,2.2,35.3,0.75
2462.0,13.0,1951.0,0.0,11.1,37.5,0.375
58.0,13.0,1952.0,0.0,7.8,37.5,0.375
38.0,13.0,1953.0,0.0,4.8,37.5,0.375
39.0,13.0,1954.0,0.1,4.5,43.8,0.375
97.0,13.0,1955.0,0.0,2.6,43.8,0.375
43.0,13.0,1956.0,0.1,3.5,43.8,0.375
49.0,13.0,1957.0,0.4,2.0,51.2,0.375
32.0,13.0,1958.0,0.4,4.4,51.2,0.375
49.0,13.0,1959.0,1.2,3.7,51.2,0.375
58.0,13.0,1960.0,0.6,0.8,42.5,0.375
59.0,13.0,1961.0,0.3,1.8,42.5,0.375
141.0,13.0,1962.0,0.1,2.7,42.5,0.375
80.0,13.0,1963.0,0.1,1.9,43.8,0.375
93.0,13.0,1964.0,0.1,3.4,43.8,0.375
29.0,13.0,1965.0,0.1,3.4,43.8,0.375
128.0,13.0,1966.0,0.1,2.8,43.8,0.375
174.0,13.0,1967.0,0.1,6.1,43.8,0.375
166.0,13.0,1968.0,0.8,4.3,43.8,0.375
171.0,13.0,1969.0,0.3,4.9,46.4,0.375
327.0,13.0,1970.0,0.2,6.6,46.4,0.375
191.0,13.0,1971.0,0.2,10.5,46.4,0.375
152.0,13.0,1972.0,0.4,6.9,63.2,0.375
300.0,13.0,1973.0,0.2,8.1,63.2,0.375
198.0,13.0,1974.0,0.1,11.1,63.2,0.375
225.0,13.0,1975.0,0.2,14.6,36.8,0.375
501.0,13.0,1976.0,0.4,17.0,36.8,0.375
437.0,13.0,1977.0,0.3,14.4,36.8,0.375
372.0,13.0,1978.0,1.7,12.0,43.5,0.375
373.0,13.0,1979.0,1.9,13.7,43.5,0.375
362.0,13.0,1980.0,2.2,17.2,43.5,0.375
354.0,13.0,1981.0,3.6,15.4,46.7,0.375
294.0,13.0,1982.0,3.5,16.2,46.7,0.375
324.0,13.0,1983.0,5.6,7.4,46.7,0.375
363.0,13.0,1984.0,5.7,6.2,59.0,0.375
632.0,13.0,1985.0,4.1,15.4,59.0,0.375
37.0,14.0,1951.0,0.8,16.1,56.7,0.875
127.0,14.0,1952.0,1.0,8.8,56.7,0.875
41.0,14.0,1953.0,0.9,1.9,56.7,0.875
104.0,14.0,1954.0,0.8,4.6,53.3,0.875
106.0,14.0,1955.0,0.9,1.1,53.3,0.875
946.0,14.0,1956.0,1.0,3.6,53.3,0.875
26.0,14.0,1957.0,1.6,2.8,53.3,0.875
59.0,14.0,1958.0,1.5,4.9,52.7,0.875
46.0,14.0,1959.0,1.1,2.2,52.7,0.875
2.0,14.0,1960.0,0.9,0.4,52.7,0.875
400.0,14.0,1961.0,1.0,2.5,52.7,0.875
76.0,14.0,1962.0,1.0,5.3,50.7,0.875
210.0,14.0,1963.0,1.2,2.6,50.7,0.875
1.0,14.0,1964.0,1.1,5.7,50.7,0.875
8.0,14.0,1965.0,0.9,4.3,50.7,0.875
5.0,14.0,1966.0,0.8,3.3,46.7,0.875
4.0,14.0,1967.0,0.7,4.4,46.7,0.875
12.0,14.0,1968.0,1.1,3.5,46.7,0.875
19.0,14.0,1969.0,1.0,3.1,46.7,0.875
39.0,14.0,1970.0,0.8,10.6,49.3,0.875
7.0,14.0,1971.0,0.8,6.3,49.3,0.875
9.0,14.0,1972.0,1.7,7.2,49.3,0.875
8.0,14.0,1973.0,1.5,7.4,49.3,0.875
227.0,14.0,1974.0,1.5,9.4,52.0,0.875
9.0,14.0,1975.0,2.3,11.7,52.0,0.875
90.0,14.0,1976.0,1.8,9.2,52.0,0.875
16.0,14.0,1977.0,1.5,9.0,52.0,0.875
39.0,14.0,1978.0,1.8,8.2,52.0,0.875
